make_time,day_part,inhopper,stuffed_crust,product_line,quantity_sold,is_plan_ahead
13.167,4,2,0,Side,1,0
13.167,4,3,0,Extra,4,0
16.117,1,1,0,Pizza,1,0
16.117,1,2,0,Pizza,1,0
9.783,4,1,0,Pizza,1,0
9.783,4,2,0,Side,1,0
9.783,4,3,0,Side,1,0
9.783,4,4,0,Beverage,1,0
12.15,4,1,0,Side,1,0
12.15,4,2,0,Side,1,0
12.15,4,3,0,Extra,2,0
12.15,4,4,0,Extra,1,0
12.15,4,5,0,Beverage,1,0
12.15,4,6,0,Extra,4,0
12.15,4,7,0,Extra,4,0
12.15,4,8,0,Pizza,1,0
22.5,3,1,0,Pizza,1,0
22.5,3,2,0,Side,1,0
10.5,2,1,0,Pizza,1,0
10.5,2,2,0,Side,1,0
10.5,2,3,0,Side,1,0
12.067,1,1,0,Pizza,1,0
12.067,1,2,0,Pizza,1,0
8.7,2,1,0,Beverage,1,0
8.7,2,2,0,Pizza,1,0
25.183,4,1,0,Pizza,1,0
25.183,4,2,0,Pizza,1,0
25.183,4,3,0,Side,1,0
8.783,4,1,0,Side,1,0
8.783,4,2,0,Pizza,1,0
10.4,1,1,0,Pizza,1,0
10.4,1,2,0,Pizza,1,0
10.4,1,3,0,Pizza,1,0
10.4,1,4,0,Pizza,1,0
10.65,1,1,0,Pizza,1,0
10.65,1,2,0,Side,1,0
13.433,2,1,0,Pizza,1,0
13.433,2,2,0,Side,1,0
12.617,2,1,0,Pizza,1,0
12.617,2,2,0,Beverage,1,0
12.617,2,3,0,Beverage,1,0
12.617,2,4,0,Pizza,1,0
0,4,1,0,Side,1,1
0,4,2,0,Side,1,1
0,4,3,0,Beverage,1,1
16.467,1,1,0,Side,1,0
16.467,1,2,0,Side,1,0
15.517,3,1,0,Pizza,1,0
15.517,3,2,0,Side,1,0
8.35,2,1,0,Pizza,1,0
8.35,2,2,0,Side,1,0
8.35,2,3,0,Beverage,1,0
0,2,1,0,Pizza,1,1
0,2,2,0,Beverage,1,1
7.7,3,1,0,Pizza,1,0
7.7,3,2,0,Pizza,1,0
7.7,3,3,0,Beverage,1,0
16.283,4,1,0,Pizza,1,0
16.283,4,2,0,Side,1,0
16.283,4,3,0,Beverage,1,0
6.2,4,1,0,Pizza,1,0
7.783,4,1,0,Pizza,1,0
7.783,4,2,0,Pizza,1,0
0,4,1,0,Pizza,13,1
0,4,2,0,Pizza,13,1
0,4,3,0,Pizza,13,1
0,4,4,0,Pizza,13,1
0,4,5,0,Pizza,13,1
0,4,6,0,Extra,300,1
0,4,7,0,Extra,300,1
8.05,5,1,0,Pizza,1,0
8.05,5,2,0,Beverage,1,0
14.517,1,1,0,Pizza,1,0
14.517,1,2,0,Pizza,1,0
19.983,4,1,0,Pizza,1,0
19.983,4,2,0,Side,1,0
26.25,4,1,0,Beverage,1,0
26.25,4,2,0,Pizza,1,0
26.25,4,3,0,Pizza,1,0
13.6,2,1,0,Side,1,0
13.6,2,2,0,Pizza,1,0
13.6,2,3,0,Pizza,1,0
28.117,4,1,0,Beverage,1,0
28.117,4,2,0,Side,1,0
28.117,4,3,0,Pizza,1,0
28.117,4,4,0,Pizza,1,0
11.467,4,1,0,Side,1,0
11.467,4,2,0,Side,1,0
11.467,4,3,0,Side,1,0
20.5,4,1,0,Beverage,1,0
20.5,4,2,0,Pizza,1,0
8.067,2,1,0,Extra,2,0
8.067,2,2,0,Dessert,1,0
8.067,2,3,0,Pizza,1,0
12.35,4,1,0,Extra,1,0
